"Job Title","Salary","Location","Job Posted","Job Description"
"Grill Chef","Competitive","Inverness","21 November","We are looking for a Grill Chef to join our Brewers Fayre team! Grill Chef - Brewers Fayre At Brewers Fayre, we serve our guests the nation's favourite pub food, at great value prices, in a family friendly..."
"Joiner","£16.00 - £17.00 per hour","South Ayrshire","21 November","Joiner Joiners required for various upcoming projects across Ayrshire Your new company A variety of new build and refurbishment contractors in the Ayrshire area. Your new role You'll be doing a variety of..."
"Property Claims Handler","£Competitive","Glasgow","21 November","Tired of staring at your cubicle all day? Fed up of processing hundreds of identical property claims every day? In need of a break from the uncertainty of shift work? Imagine a Property Claims Handler role in state-of-the-art..."
"Kitchen Porter","Competitive","Inverness","21 November","We are looking for a Kitchen Porter to join our Brewers Fayre team! Team Member - Brewers Fayre At Brewers Fayre, we serve our guests the nation's favourite pub food, at great value prices, in a family friendly..."
"Grill Chef/chef DE Partie","£9.21 per hour","Ayr","21 November","We are looking for a Grill Chef to join our Brewers Fayre team! 30+ hours per week £9.21 per hour Grill Chef - Monkton Lodge Brewers Fayre, Kilmarnock Road, Monkton At Brewers Fayre, we serve our guests the..."
"Team Member - Kitchen/Phoenix Park","Competitive","Paisley","21 November","We are on the hunt for a Kitchen Team Member to join our Brewers Fayre team! Kitchen Team Member - Brewers Fayre At Brewers Fayre, we serve our guests the nation's favourite pub food, at great value prices, in a..."
"Wind Farm Service Technician","£26000 - £35000 per annum + Generous Overtime Bonuses, Pension","Stirling","21 November","Experienced Service Technician required to work on Wind Farms around the Stirlingshire area. This is a permanent role carrying out electrical and/or mechanical maintenance and repair activities on large turbines on a daily basis..."
"Junior Development or DevOps Engineer - .NET - Perm - Edinbu","20000-25000 Per Annum","Edinburgh","21 November","Junior Development or DevOps Engineer - .NET - Perm - Edinburgh - Excellent package If you have some .NET knowledge and are looking for a solid foundation for a successful career working with the Microsoft stack then this may..."
"HR Advisor - Fixed Term Contract","£18750.00 - £21000.00 per annum","Glasgow","21 November","Are you an experienced HR Advisor or Assistant looking for a new part time role? Are you looking for a change of pace and a role ideally within the third sector? This may be the perfect opportunity for you..."
"Head Housekeeper - Premier Inn - Leith Waterfront","Competitive","Edinburgh","21 November","We are looking for a Head Housekeeper to join us at Premier Inn. Head Housekeeper - Premier Inn At Premier Inn, every guest wants a great night's sleep - As Head Housekeeper you'll make this a reality for every..."
"Restaurant Manager","£28,000","East Kilbride","21 November","We are on the lookout for a Restaurant Manager for our restaurant here in East Kilbride! Offering more than just a great career opportunity that starts with the very best induction training, there's a salary of up to..."
"Kitchen Manager - Dundee Central - Beefeater","£30750","Dundee","21 November","Located in centre of Dundee, near to train station. We are looking for an experienced Kitchen Manager. Reporting to the General Manager, our Kitchen Managers play a pivotal part in the daily success and running of the restaurant..."
"Kitchen Manager - Deer Park - Livingstone","£30,750","Livingston","21 November","Deer Park is a fast paced well established Beefeater with a Premier Inn attached with 107 bedrooms, with an extension next year of 21 bedrooms. Kitchen Manager - Deer Park - Livingstone - Beefeater Reporting to the General..."
"Project Manager","£46000.00 - £48000.00 per annum","Glasgow","21 November","Project Manager, Job, Digital Transformation, Change, Agile Your new company A well known insurance company established for over 25 years and looking for an experienced Project Manager to join their team and help them with..."
"Team Member - Restaurant/41015035","£8.51 p/h","Aberdeen","21 November","We are on the hunt for a Restaurant Team Member to join our Table Table team! Great rate of pay up to £8.51 p/h flexible working hours / Full Time Restaurant Team Member - Table Table Table Table is a restaurant..."
"Administrator","Up to £8.65 per hour","Livingston","21 November","Do you love to work in a busy environment? Do you have previous experience working in a construction/industrial environment? Office Angels are delighted to be supporting one of our loyal clients with a temporary..."
"Team Member - Kitchen - Mill Of Mundurno","Competitive","Aberdeen","21 November","We are on the hunt for a Kitchen Team Member to join our Table Table team! Kitchen Team Member - Table Table Table Table is a restaurant serving great value, quality pub classics with a modern twist..."
"Team Member - Kitchen / 40012345","Competitive","Glasgow","21 November","We are looking for a Kitchen Team Member to join our Beefeater team! Kitchen Team Member - Beefeater Beefeater is one of the UK's best-loved and best-known restaurant brands..."
"Production Operative","£8.21 - 13.06 per hour","Cupar","21 November","Brightwork Recruitment are looking to recruit experienced production operators to work at a large food manufacturer near Cupar in Fife. Key responsibilities: - Working on automated production packing lines - Working on..."
"IS Business Partner","£42000 - £49000 per annum","Glasgow","21 November","Our client is looking for an experienced IS Business Partner to join their organisation on a permanent position. The successful IS Business Partner will perform a specialised technology and service advisory role to business..."
"Payroll Assistant","","Edinburgh","21 November","I am looking to recruit a highly experienced Payroll Assistant on a maternity leave contract for a retail business based in Edinburgh. This is a vital standalone payroll opportunity with responsibility for the complete end to..."
"Purchase ledger Assistant","£16000.00 - £17500.00 per annum","Glasgow","21 November","Blue Arrow Glasgow are currently working in partnership with a well-known client in their search for a Purchase Ledger Clerk to work on a permanent contract based in Glasgow. This is an excellent opportunity for to join a..."
"Finance Analyst","£32,000-£36,000","Glasgow","21 November","Rutherford Cross is partnering with a fast-growing city centre based business to recruit a Finance Analyst. Reporting directly to the Senior Management Accountant, you will be responsible for assisting in the preparation of..."
"Team Member - Reception / 44031945","Competitive","Edinburgh","21 November","We are looking for a reception team member to join our Premier Inn team! Reception Team Member - Premier Inn At Premier Inn, you'll create a guest's first impressions of our hotel - During check in, your..."
"Project Manager","","Stirling","21 November","Are you a Project Manager who is looking for your next challenge? Do you want to work with an organisation who is developing revolutionary platform technologies that are transforming diagnostics to provide next generation..."
"Product Development Engineer","","Glasgow","21 November","Nine Twenty have a one in a life time opportunity for a Product Development Engineer with a minimum of 4 years experience .... Are you who we are looking for? Educated to Degree Level in either..."
"Finance Assistant","£9.00 - £10.00 per hour","Borders","21 November","Part-Time Finance Assistant, Scottish Borders. Competitive hourly rate. Your new company Hays Accountancy and Finance is partnered with a Forestry business based in the Scottish Borders..."
"Monitoring and Response Officer","Up to £9.75 per hour + pension, holiday pay,shift enhancement's","Edinburgh","21 November","Monitoring and Response Officer - Edinburgh Contracts offered on a full-time / Part time basis Salary: £9.75 per hour plus generous shift enhancement's, holiday pay accrual and pension The Social Care Community..."
"Finance Analyst","£38,000 plus excellent benefits","Glasgow","21 November","Rutherford Cross is delighted to be working with an exciting drinks business with an environmental conscience, based in Glasgow city centre, to recruit a Finance Analyst. This is an exceptional opportunity for a newly qualified..."
"Security Officer","£8.75","Glasgow","21 November","Virtue Recruitment Services are currently recruiting for a Security Officer in the Glasgow Area. This role will be a ongoing basis between 44-55 hours per week. Shifts can last from 1800-0600..."
"Night Receptionist","Starting salary £8.66 per hour with benefits.","Aviemore","21 November","*** NEW SITE OPENING *** NIGHT RECEPTION PREMIER INN AVIEMORE Full & Part Time Positions available, starting salary £8.66 per hour with benefits. We are looking for hardworking and responsible individuals who can..."
"Claim Service Advisor","","Glasgow","21 November","Claims Advisor, Glasgow City Centre, £21,696 + up to 5% Bonus Working for one of the leading names in insurance, we offer a friendly and fun environment, where you'll receive top training and all the support you need..."
"Fund Administrator, NAV","","Glasgow","21 November","Job Description: An opportunity has arisen in Glasgow to work in one of the UK's highly respected discretionary Investment management firms. The successful candidate will be working in the pricing and valuations team and be..."
"Motor Claims Handler","£Competitive","Glasgow","21 November","'A pedestrian hit me and went under my car' 'Going to work at 7 am this morning, I drove out of my driveway straight into a bus. The bus was 5 minutes early' 'The car in front hit the pedestrian but he..."
"Care And Support Worker","£14,300 pro-rata (equivalent to £11 per hour)","Aberdeenshire","21 November","Care and Support Worker - Aberdeen/Aberdeenshire Salary: £14,300 pro-rata (equivalent to £11 per hour) Hours: 25 hours per week Base: Stonehaven or Torphins Rota: To meet the..."
"E-commerce Assistant","","Edinburgh","21 November","My client is looking to recruit a French or German speaking Ecommerce Assistant to join the Marketplace Retail team in their Edinburgh office. This is a great opportunity to learn valuable business, ecommerce and Amazon skills..."
"Project Specialist","","Stirling","21 November","Job Description: We are working closely with a very successful financial services firm who are seeking a Project Specialist to join their team based in Stirling. In this role you will work with the Finance Change Manager to..."
"Head Of Prospect Experience And Conversion","££51,034 - £59,135","Edinburgh","21 November","The Marketing, Recruitment, Admissions and Communications Directorate is responsible for driving recruitment income growth and reputation enhancement for the university through the delivery of sector leading strategy and plans to..."
"Business Analyst","£42500 - £47500 per annum + bonus, pension","Glasgow","21 November","A great new opportunity to join our client in their small but specialist business analysis team. This is a highly varied role with responsibility for driving the business to plan, build and implement technology based solutions to..."
"Marketing & Business Development Executive","To define","Edinburgh","21 November","Company description: Morgan Philips Group is an innovative recruitment business with a footprint across 4 continents. In just 5 years, we have built a global platform that disrupts conventional thinking in executive and..."
"Full Time Customer Sales Advisor","£18,394 - £19,544","Perth","21 November","(plus bonus - potential further earnings of £2,730 pa) 37 hours per week Live Active Leisure requires a highly motivated, positive and flexible Sales Advisor, with excellent interpersonal skills and the ability to reach..."
"Senior Network Analyst","£40000 - £43000 per annum + Excellent Benefits","Glasgow","21 November","Harvey Nash is delighted to be working exclusively to recruit an experienced networking professional to join the large technology team of a leading organisation in Glasgow City Centre..."
"Cook (Single) - Nesting Primary School - SIC03898","£10.73 - £11.75","Shetland Islands","21 November","Advertisement Details Responsible for all activities in a small kitchen and its surrounds connected with the provision of a catering service. More detail is provided in the Job Profile, Person Specification and Conditions of..."
"Apply now","Principal Teacher (Temporary) - REN04787","Salary: £43,836 - £43,836","Location: Kilbarchan","Date posted: 21 November"
"SLA06333 - Principal Teacher (Support for Learning) - SLA06333","£49,293 - £49,293","Uddingston","21 November","Job Description Education Resources are committed to the education, care and welfare of young people in a childcare environment. Although specific duties have been drawn up and are defined in this profile, they are not..."
"SLA06334 - Principal Teacher of Pupil Support - SLA06334","£47,472 - £47,472","Cambuslang","21 November","Job Description Although specific duties have been drawn up and are defined in this profile, they are not exhaustive and can change to suit the needs and priorities of the school. The necessity for change will be determined by..."
"Social Care Worker - Nordalea Care Services - SIC03899","£11.3 - £12.91","Shetland Islands","21 November","Advertisement Details The purpose of the job is to actively provide person-centred care in accordance with relevant legislation and guidelines. To attend to the physical, social and emotional needs of the service users in your..."
"Teacher of French - Bellshill Academy (Supply) - NLA04766","£32,034 - £40,206","Bellshill","21 November","Job Advertisement Teacher of French (Supply) Bellshill Academy This post is temporary until 24th June 2020. You will require to become a Protecting Vulnerable Groups (PVG) Scheme member prior to commencing in this role..."
"Additional Needs Assistant (PEF) (3 Posts) - Peebles High School - SBO03764","£17,096 - £18,373","Peebles","21 November","Job Details Grade: 4B Hourly Rate: £9.36 - £10.06 Salary: £17,096.03 - £18,373.53 pro rata per annum (Term Time Only) Contract Duration: Temporary until 16/08/2020 Role Purpose You will work very closely and..."
"Administrative Assistant (FIF15315) - FIF15315","£20,573 - £22,807","Kirkcaldy","21 November","Job Description Interview Date: Monday 16 December 2019 Before applying for this job, it is important that you read the Applicant Guidance by clicking here and the attached Job Pack..."
"Care Assistant (FIF15289) - FIF15289","£18,302 - £20,573","Dunfermline","21 November","Job Description Contract Type: Temporary for 12 months Interview Date: Week commencing Monday 16 December 2019 Before applying for this job, it is important that you read the Applicant Guidance by clicking on this link and..."
"Apply now","Curricular Leader of Science - Tynecastle High School - EDN12006","Salary: £49,293 - £49,293","Location: Edinburgh","Date posted: 21 November"
"Day Service Co-Ordinator (FIF15263) - FIF15263","£18,302 - £20,573","St Andrews","21 November","Job Description Interview Date: Week commencing 16 December 2019 The job pack for this vacancy is attached at the bottom of the page. It provides more detailed information about the job and the type of person we are looking for..."
"Home Carer - ORK03780","£18,539 - £19,639","Orkney Islands","21 November","Advert ORKNEY HEALTH AND CARE Care at Home Home Carer* 18.75 hours per week, Shift working over 7 days Permanent £22,549 - £23,759 pro rata (including shift allowance and Distant Islands Allowance) *It is..."
"Housing Officer - MID03199","£23,462 - £25,622","Dalkeith","21 November","Job Vacancy Operational knowledge of housing policy and related legislation is desirable to deliver accurate information and make balanced judgements within statutory requirements & strict guidelines..."
"Apply now","Instrumental Music Instructor - Upper Strings - EDN12016","Salary: £27,969 - £37,176","Location: Edinburgh","Date posted: 21 November"
"Occupational Therapist (FIF15300) - FIF15300","£32,944 - £36,473","Dunfermline","21 November","Job Description Contract Type: Temporary until December 2020 Interview Date: Tuesday 17 December 2019 The job pack for this vacancy is attached at the bottom of the page. It provides more detailed information about the job..."
"Apply now","Primary Teacher - Leith Primary School - EDN11991","Salary: £26,697 - £40,206","Location: Edinburgh","Date posted: 21 November"
"Relief Student Support Assistant - ORK03814","£10.33 - £10.33","Orkney Islands","21 November","Advert EDUCATION, LEISURE AND HOUSING Curriculum & Community Learning Orkney College UHI Relief Student Support Assistant Hours are offered on an as and when required basis £11..."
"Teacher of English - Hawick High School - SBO03767","£26,697 - £40,206","Hawick","21 November","Job Details Grade: CS0-5 Salary: £26,697 - £40,206 pro rata per annum Hours to be worked 17.5 - 23 hours per week Contract Duration: Permanent Role Purpose To enable all young people to become successful learners,..."
"Team Leader (Housing and Homelessness) - ORK03826","£34,436 - £37,082","Orkney Islands","21 November","Advert ORKNEY ISLANDS COUNCIL Education, Leisure and Housing Team Leader (Housing and Homelessness) 35 hours per week Permanent £36,593 - £39,239 (including Distant Islands Allowance) An exciting opportunity has..."
"Additional Needs Assistant - Earlston High School - SBO03766","£17,096 - £18,373","Borders","21 November","Job Details Grade: 4B Hourly Rate: £9.36 - £10.06 Salary: £17,096.03 - £18,373.53 pro rata per annum (Term Time Only) Contract Duration: Temporary until 16/08/2020 Role Purpose You will work closely and..."
"Additional Support Needs Assistant - New Stevenston Primary School (Term Time) (Part Time) (Temporary) - NLA04760","£18,708 - £19,911","Motherwell","21 November","Job Advertisement NLC4 - £18,708 - £19,911 Pro Rata A range of exciting opportunities are available within North Lanarkshire to assist children who have a broad range of additional support needs..."
"Additional Support Needs Assistant - St Andrew's Primary School (Term Time) (Part Time) (Temporary) - NLA04759","£18,708 - £19,911","Airdrie","21 November","Job Advertisement NLC4 - £18,708 - £19,911 Pro Rata A range of exciting opportunities are available within North Lanarkshire to assist children who have a broad range of additional support needs..."
"Catering Supervisor (FIF15313) - FIF15313","£18,302 - £20,573","Glenrothes","21 November","Job Description Work Pattern: Monday & Thursday 09:00-15:15, Tuesday 14:00-19:15, Friday 15:00-19:15 & Sunday 08:00-12:00 (also Saturday 08:00-12:00 in week 2) Interview Date: Week commencing 9 December 2019 The job pack for..."
"Class Teacher (ASN), Glaitness School - ORK03827","£28,854 - £42,363","Orkney Islands","21 November","Advert EDUCATION, LEISURE AND HOUSING Glaitness School Class Teacher (Additional Support Needs) 21 hours per week Temporary maternity cover up to 1 July 2020 This is an exciting opportunity to join the staff team at..."
"Classroom Assistant - Heriot Primary School - SBO03770","£17,096 - £18,373","Borders","21 November","Job Details Grade: 4B Hourly Rate: £9.36 - £10.06 Salary: £17,096.03 - £18,373.53 pro rata per annum (Term Time Only) Contract Duration: Permanent Role Purpose The successful candidate will support..."
"Home Carer - ABS20859","£9,561 - £9,965","Banchory","21 November","Job Description Could you be instrumental in enabling people in their community to live as independently as possible? Are you the kind of person who wants more out of your job? Are you looking for a career that makes a real..."
"Apply now","Instrumental Music Instructor - Cello - EDN12018","Salary: £27,969 - £37,176","Location: Edinburgh","Date posted: 21 November"
"Music Instrutor (Inverurie Academy) - ABS20857","£22,374 - £29,742","Inverurie","21 November","Job Description Aberdeenshire Instrumental Music Service seeks an enthusiastic and highly motivated Violin/Viola Instructor to work in Inverurie Academy and surrounding schools.To deliver quality music tuition to assigned pupils..."
"SLA06304 - Teacher of Complex Needs - Sanderson High School - SLA06304","£32,034 - £40,206","East Kilbride","21 November","Job Description Sanderson High School is a non-denominational school which caters for pupils with Additional Support Needs from S1-S6. The school is part of the Calderglen Learning Community and has extensive links with the local..."
"Teacher - Department of Additional Support (FIF15303) - FIF15303","£32,034 - £40,206","Cupar","21 November","Job Description Working Pattern: Monday - Friday 3.5 hours per week (hours can be negotiated with school) Interview Date: Monday 9 December 2019 Before applying for this job, it is important that you read the Applicant..."
"Apply now","Teacher of Mathematics - Gracemount High School - EDN12022","Salary: £26,697 - £40,206","Location: Edinburgh","Date posted: 21 November"
"Teacher of Primary (Rosehearty Primary School) - ABS20861","£10,860 - £16,082","Aberdeenshire","21 November","Job Description We are looking for enthusiastic teachers who are committed to excellence and ready to work in a dynamic part of Scotland to deliver quality education to assigned pupils and contribute, within collegiate ethos, to..."
"Teacher Science - DGA05015","£32,034 - £40,206","Newton Stewart","21 November","Advert Teacher Science (Physics Preferred) (7/12067) Douglas-Ewart High School Unpromoted Teacher Scale: £32,034 - £40,206 The Douglas Ewart High School is a six-year comprehensive, non-denominational Secondary..."
"Additional Support Needs Assistant - Cambusnethan Primary School (Part Time) (Term Time) (Temporary) - NLA04753","£18,708 - £19,911","Wishaw","21 November","Job Advertisement NLC4 - £18,708 - £19,911 Pro Rata A range of exciting opportunities are available within North Lanarkshire to assist children who have a broad range of additional support needs..."
"Care Support Worker - MID03200","£20,588 - £21,489","Dalkeith","21 November","Job Vacancy Based at Highbank Intermediate Care Home, Eskbank, Dalkeith, you will provide personal care and respond to the social and emotional needs of older people requiring residential care, assessment and Intermediate care..."
"Apply now","Depute Head Teacher - Leith Primary School - EDN12017","Salary: £56,571 - £56,571","Location: Edinburgh","Date posted: 21 November"
"Apply now","Depute Headteacher - Firrhill High School - EDN11997","Salary: £59,796 - £59,796","Location: Edinburgh","Date posted: 21 November"
"HR Information & Systems Officer - EAD03335","£27,191 - £31,461","Kirkintilloch","21 November","Job Summary An exciting opportunity has arisen within the Employee & Payroll Services Team at East Dunbartonshire Council for a motivated individual with an excellent knowledge of an integrated HR & Payroll System, preferably,..."
"Apply now","Information Officer (Housing Strategy) - STR03874","Salary: £26,070 - £28,428","Location: Stirling","Date posted: 21 November"
"Peripatetic Home Carer - ORK03777","£18,539 - £19,639","Orkney Islands","21 November","Advert ORKNEY HEALTH AND CARE Care at Home Peripatetic Home Carer* (3 posts) 1 x 21.25 hours per week 2 x 26 hours per week Permanent, Shift working over 7 days £22,549 - £23,759 pro rata (including Shift..."
"Playground Supervisor - Heriot Primary School - SBO03768","£15,232 - £15,834","Borders","21 November","Job Details Grade: 1F Hourly Rate: £8.34 - £8.67* Salary: £15,231.98 - £15,834.23 pro rata per annum (Term Time Only) Contract Duration: Permanent * Scottish Local Government Living Wage Allowance of £9..."
"Principal Teacher - Young Learners at Risk (FIF15184) - FIF15184","£45,645 - £45,645","Cupar","21 November","Job Description Contract Type: Temporary Principal Teacher for 23 months, thereafter permanent teacher. Interview Date: Monday 16 December 2019 Before applying for this job, it is important that you read the Applicant..."
"SLA06287 - Gaelic Medium Teacher - Mount Cameron Primary School - SLA06287","£32,034 - £40,206","East Kilbride","21 November","Job Description Applications are invited from fully qualified teachers who are fluent in the Gaelic language. Mount Cameron Primary was rebuilt in 2007 in the St Leonards area of East Kilbride, South Lanarkshire Council..."
"Apply now","Social Care Assistant (Part Time - Temporary) - REN04766","Salary: £13,796 - £15,251","Location: Paisley","Date posted: 21 November"
"Additional Support Needs Assistant - Kildrum Family Learning Centre (Temporary) - NLA04752","£18,708 - £19,911","Cumbernauld","21 November","Job Advertisement NLC4 - £18,708 - £19,911 Pro Rata A range of exciting opportunities are available within North Lanarkshire to assist children who have a broad range of additional support needs..."
"Apply now","Classroom Assistant (Part Time - Term Time) (Temporary) - REN04780","Salary: £9,925 - £12,709","Location: Paisley","Date posted: 21 November"
"Apply now","Cleaning Assistant, Cowie Library (Part Time) - STR03878","Salary: £1,893 - £1,893","Location: Cowie","Date posted: 21 November"
"Apply now","Community Meals Driver (Part Time - Permanent) - REN04771","Salary: £11,497 - £12,709","Location: Renfrewshire","Date posted: 21 November"
"Apply now","Principal Teacher - Braidburn School - EDN12020","Salary: £43,836 - £43,836","Location: Edinburgh","Date posted: 21 November"
"Teacher of Biology (Westhill Academy) - ABS20856","£26,697 - £40,206","Westhill (Aberdeen)","21 November","Requirements We are looking for enthusiastic teachers who are committed to excellence and ready to work in a dynamic part of Scotland to deliver quality education to assigned pupils and contribute, within collegiate ethos, to the..."
"Apply now","Teacher of Drama - Gracemount High School - EDN12021","Salary: £26,697 - £40,206","Location: Edinburgh","Date posted: 21 November"
"Cook - Sunnybrae Centre - ORK03800","£17,498 - £18,250","Orkney Islands","21 November","Advert ORKNEY HEALTH AND CARE Health and Community Care, Sunnybrae Centre Cook 20 hours per week, Shift working over 7 days Permanent £21,404 - £22,232 pro rata (including shift allowance and Distance Islands..."
"Relief Receptionist - ORK03813","£9.07 - £9.07","Orkney Islands","21 November","Advert EDUCATION, LEISURE AND HOUSING LEISURE & LIFELONG LEARNING Orkney College UHI Relief Receptionist Hours are offered on an as and when required basis £10.25 per hour (including Distant Islands Allowance) Orkney..."
"Toothbrushing Supervisor - Orphir Primary School - ORK03825","£17,498 - £17,498","Orkney Islands","21 November","Job Description EDUCATION, LEISURE AND HOUSING Orphir Primary School Toothbrushing Supervisor 5 hours per week, Term time Temporary up to 1 July 2020 £19,655 pro rata (including Distant Islands Allowance) We are..."
"Teacher of Mathematics (Turriff Academy) - ABS20855","£26,697 - £40,206","Turriff","21 November","Job Description Deliver quality education to assigned pupils and contribute, within collegiate ethos, to the professional life of the school in relation to pupils, staff and appropriate external bodies within the agreements of..."
"Recruiter - Immediate Start","£25,000 - £30,000","Glasgow","21 November","Are you an experienced recruiter available for a temporary contract? We have a great role available, working for a large commercial business who are a market leader in their field..."
"12 Month Placement","£15.6k per year + Monthly Bonus","Glasgow","21 November","HAYS 12 Month Placement Recruitmen t Consultant Have you considered a placement as a recruiting expert at Hays? Applications are being accepted for Interns to commence in 2020, for your 3rd year placement option on your..."
"12 Month Placement","£15.6k per year + Monthly Bonus","Edinburgh","21 November","HAYS 12 Month Placement Recruitment Consultant Have you considered a placement as a recruiting expert at Hays? Applications are being accepted for Interns to commence in 2020, for your 3rd year placement option on your..."
"IT Assistant","Competitve Package Offered","Edinburgh","21 November","Job Title: IT Assistant Department: Corporate Support Location: Edinburgh Reports to: IT Manager Company Profile Red Rock Power Limited is a growing, European energy company based in Scotland and owned by SDIC Power, a..."
"Qualified Accountant","£Negotiable","Aberdeen","21 November","Newly created requirement with our Aberdeen based client. Due to recent success and contract wins they need to expand their Finance team and this is viewed as a pivotal addition. Reporting into the Finance Manager,..."
"Print Production Manager","benefits","Glenrothes","21 November","928783 Print Production Manager Permanent Location - Fife, Scotland Salary - competitive + benefits (a relocation package may be available) The opportunity has arisen to join one of Scotland's leading print..."
"Forensic Assistant Manager","£37,000 - £42,000","Edinburgh","21 November","Change Public Practice are working with a well-known Chartered Accountancy firm in Edinburgh to assist them with the growth of their Forensics team in Edinburgh. This Scottish practice team is a relatively new set up and part of..."
"Warehouse Site Supervisor","Market related","Perth","21 November","Brightwork are recruiting on behalf our high-end Production client who are currently looking for a Warehouse site Supervisor. This is an excellent opportunity to join a well established production compnay in the Perth area..."
"Reservations & Sales Supervisor / Manager - VR/21050","£Available upon request","Aberdeen","21 November","**EXCLUSIVE** Opportunity available for a Reservations & Sales Supervisor / Manager to join a growing local business. This permanent opportunity is based in Aberdeen City Centre and allows the successful candidate to drive..."
"Customer Service Administrator - Long Term Temp (Clydebank)","Up to £9.34 per hour","Glasgow","21 November","I have a number of long term temporary opportunities available with my client based in is an opportunity for someone to to make a real difference to a rapidly expanding bank. This is an opportunity for driven, motivated..."
"FRONT OF HOUSE","Starting salary £8.51 per hour with benefits!","Aviemore","21 November","*** NEW SITE OPENING *** GROUND FLOOR TEAM MEMBER / FRONT OF HOUSE PREMIER INN AVIEMORE Full and Part Time Positions available, starting salary £8.51 per hour with benefits! We are look for flexible, hardworking..."
"Payroll Analyst","£Competitive","Edinburgh","21 November","Payroll Analyst | Edinburgh (outskirts) | Permanent | Change Recruitment Group are currently looking to recruit a Payroll Analyst on behalf of a key client based on the west of Edinburgh The successful candidate will report..."
"Housekeeper","Starting salary £8.51 per hour with benefits!","Aviemore","21 November","*** NEW SITE OPENING *** HOUSEKEEPING TEAM MEMBER PREMIER INN AVIEMORE Full and Part Time Positions available, starting salary £8.51 per hour with benefits! We are look for hardworking individuals who can join our new site..."
"Customer Service Administrator - Long Term Temp","Up to £9.34 per hour","Glasgow","21 November","I have a number of long term temporary opportunities available with my client based in Glasgow City is an opportunity for someone to to make a real difference to a rapidly expanding bank..."
"Maintenance","Starting salary £8.96 per hour with benefits!","Aviemore","21 November","*** NEW SITE OPENING *** MAINTENANCE PREMIER INN AVIEMORE Part Time Position available, starting salary £8.96 per hour with benefits! We are looking for a hardworking individual who is available during the day during for..."
"Chef","Starting salary £8.46 per hour with benefits!","Aviemore","21 November","*** NEW SITE OPENING *** KITCHEN TEAM MEMBER / CHEF PREMIER INN AVIEMORE Full and Part Time Positions available, starting salary £8.46 per hour with benefits! We are looking for flexible, hardworking individuals to..."
"Data Analyst - Financial Services","","Edinburgh","21 November","FINANCIAL SERVICES - DATA ANALYST - DATA SCIENCE - SQL - SAS - MICROSTRATEGY - R - PYTHON Our Financial Services client is currently looking for a motivated and experienced Data Analyst to join the team based in the..."
"Head Housekeeper","Starting salary £9.21 per hour with benefits","Aviemore","21 November","*** NEW SITE OPENING *** HEAD HOUSEKEEPER PREMIER INN AVIEMORE Full Time Position available, starting salary £9.21 per hour with benefits We are looking for a hardworking individual who can help lead ....."
"Senior Accounts Assistant","£DOE","Glasgow","21 November","Pertemps are currently working with a leading CA firm based in Glasgow City Centre. The role sits within the Business Advisory Services Department. They are looking to recruit an experienced senior accounts assistant..."
"Mail Delivery Person","","Inverurie","21 November","We are currently recruiting for a delivery person for a well-established national client at a site based in Inverurie. This placement is temporary but on-going. For this job role you will be required to deliver items sometimes..."
"Product Technician (Financial Services)","Competitive","Edinburgh","21 November","Product Technician (Financial Services) Edinburgh 12-month FTC (salaried) Competitive Salary Meraki Talent's leading Global Financial Services client is shortlisting for a Product Technician to join their team in Dundee..."
"Team Leader","Starting salary £8.91 per hour with benefits","Aviemore","21 November","*** NEW SITE OPENING *** DUTY MANAGER / TEAM LEADER PREMIER INN AVIEMORE Full Time Positions available, starting salary £8.91 per hour with benefits Duty Manager - Premier Inn *** NEW SITE OPENING *** DUTY..."
"Helpdesk Administrator","","Glasgow","21 November","I am looking for a Helpdesk Administrator to work with my globally recognised client in a busy and thriving office based in Glasgow. This is an exciting opportunity to join an established company that will offer profession..."
"DevOps Engineer - Edinburgh - £50K","£35000.00 - £50000.00 per annum + Pension, bonus etc","Edinburgh","21 November","DevOps Engineer, Edinburgh (£40,000 - £50,000) Search are proud to be on the lookout for a early career/mid level DevOps Engineer to join their leading digital agency based in Edinburgh..."
"C# Developer","£250 - £375 Per Day","Glasgow","21 November","Are you an immediately available .NET Developer looking to pick up your next contract? You have the opportunity to join an organisation leading the way in their field creating cutting edge surveillance technology for ever..."
"Grill Chef - Beefeater - West Highland Gate - Milngavie","£9.21ph plus amazing Whitbread perks and benefits!","Milngavie","21 November","We are looking for a Grill Chef to join our Beefeater team! £9.21ph plus amazing Whitbread perks and benefits! Grill Chef - Beefeater Great food is at the heart of great times for our customers - With you operating..."
"Team Leader - Beefeater - West Highland Gate","Competitive","Milngavie","21 November","We are looking for a Restaurant Team Leader to join our Beefeater team! Restaurant Team Leader - Beefeater Beefeater is one of the UK's best-loved and best-known restaurant brands..."
"Senior Marketing Executive","Competitive","Dunfermline","21 November","About CORGI HomePlan Since 2011 we've been providing CORGI HomePlan home emergency and boiler cover. With 160,000 customers - and growing - we're here to challenge the status quo and provide better home services..."
"Team Member - Kitchen, West Highland Gate - Beefeater","Competitive","Milngavie","21 November","We are looking for a Kitchen Team Member to join us here at Beefeater! Kitchen Team Member - Beefeater Beefeater is one of the UK's best-loved and best-known restaurant brands..."
